text,date,source
"I love your product! It's amazing and works perfectly.",2023-01-01,email
"Customer service was terrible. They didn't respond to my issue.",2023-01-02,review
"The product is good, but the pricing is too high.",2023-01-03,survey
"Excellent support team! They resolved my issue quickly.",2023-01-04,email
"The new feature is great! It solves a major problem for us.",2023-01-05,survey
"I've been a customer for years, but recent changes are disappointing.",2023-01-06,social_media
"Fast delivery and good quality product. Highly recommend!",2023-01-07,review
"Poor quality product. Not worth the money.",2023-01-08,review
"The support team was very helpful in resolving my issue.",2023-01-09,email
"The product works well, but the documentation is lacking.",2023-01-10,survey
